,35,bif_sum,date,year,month,day
0,0.0,0.0,2009-01-03,2009,1,3
1,0.0,0.0,2009-01-04,2009,1,4
2,0.0,0.0,2009-01-05,2009,1,5
3,0.0,0.0,2009-01-06,2009,1,6
4,0.0,0.0,2009-01-07,2009,1,7
5,0.0,0.0,2009-01-08,2009,1,8
6,0.0,0.0,2009-01-09,2009,1,9
7,0.0,0.0,2009-01-10,2009,1,10
8,0.0,0.0,2009-01-11,2009,1,11
9,0.0,0.0,2009-01-12,2009,1,12
10,0.0,0.0,2009-01-13,2009,1,13
11,0.0,0.0,2009-01-14,2009,1,14
12,0.0,0.0,2009-01-15,2009,1,15
13,0.0,0.0,2009-01-16,2009,1,16
14,0.0,0.0,2009-01-17,2009,1,17
15,0.0,0.0,2009-01-18,2009,1,18
16,0.0,0.0,2009-01-19,2009,1,19
17,0.0,0.0,2009-01-20,2009,1,20
18,0.0,0.0,2009-01-21,2009,1,21
19,0.0,0.0,2009-01-22,2009,1,22
20,0.0,0.0,2009-01-23,2009,1,23
21,227.9248831214173,227.9248831214173,2009-01-24,2009,1,24
22,0.0,0.0,2009-01-25,2009,1,25
23,0.0,0.0,2009-01-26,2009,1,26
24,0.0,0.0,2009-01-27,2009,1,27
25,0.0,0.0,2009-01-28,2009,1,28
26,0.0,0.0,2009-01-29,2009,1,29
27,0.0,0.0,2009-01-30,2009,1,30
28,0.0,0.0,2009-01-31,2009,1,31
29,0.0,0.0,2009-02-01,2009,2,1
30,0.0,0.0,2009-02-02,2009,2,2
31,0.0,0.0,2009-02-03,2009,2,3
32,0.0,0.0,2009-02-04,2009,2,4
33,0.0,0.0,2009-02-05,2009,2,5
34,0.0,0.0,2009-02-06,2009,2,6
35,0.0,0.0,2009-02-07,2009,2,7
36,0.0,0.0,2009-02-08,2009,2,8
37,0.0,0.0,2009-02-09,2009,2,9
38,0.0,0.0,2009-02-10,2009,2,10
39,0.0,0.0,2009-02-11,2009,2,11
40,0.0,0.0,2009-02-12,2009,2,12
41,0.0,0.0,2009-02-13,2009,2,13
42,58.34952297615349,58.34952297615349,2009-02-14,2009,2,14
43,0.0,0.0,2009-02-15,2009,2,15
44,0.0,0.0,2009-02-16,2009,2,16
45,173.8868722764655,173.8868722764655,2009-02-17,2009,2,17
46,1.5293221747782166,1.5293221747782166,2009-02-18,2009,2,18
47,0.0,0.0,2009-02-19,2009,2,19
48,0.0,0.0,2009-02-20,2009,2,20
49,0.0,0.0,2009-02-21,2009,2,21
50,0.0,0.0,2009-02-22,2009,2,22
51,510.05247332199343,510.05247332199343,2009-02-23,2009,2,23
52,0.0,0.0,2009-02-24,2009,2,24
53,0.0,0.0,2009-02-25,2009,2,25
54,0.0,0.0,2009-02-26,2009,2,26
55,0.0,0.0,2009-02-27,2009,2,27
56,0.0,0.0,2009-02-28,2009,2,28
57,0.0,0.0,2009-03-01,2009,3,1
58,0.0,0.0,2009-03-02,2009,3,2
59,0.0,0.0,2009-03-03,2009,3,3
60,0.0,0.0,2009-03-04,2009,3,4
61,0.0,0.0,2009-03-05,2009,3,5
